,Unnamed: 0,older proportion,proportion white,proportion male,born in TX,mean income,higher education,unemployment rate,prop_r_vote
19,District 20 Estimate,0.3069438224100417,0.8416772903821065,0.4923472045160298,0.7974748594647073,64553,0.33296775175232146,0.05673755347510695,0.8085871701291409
20,District 21 Estimate,0.3978979842139068,0.8551046431457442,0.4915645441493003,0.6661836144932618,99846,0.5330260808195302,0.03439711908605489,0.503408929231995
21,District 22 Estimate,0.34177445281339314,0.6124548535247692,0.4932937976546127,0.6901537253573711,117418,0.5611706534346086,0.057529147010580026,0.5139771090474247
22,District 23 Estimate,0.3492473383692271,0.8205052542910477,0.5085456975129863,0.8047930039408788,72722,0.28993472744182913,0.0530887546728903,0.4922222541112993
23,District 24 Estimate,0.3249852684103835,0.639870116722472,0.4934314706981476,0.6127912119943668,102701,0.5243917869461809,0.038371885297593035,0.5067655363464199
24,District 25 Estimate,0.3735901842425409,0.8337568448706992,0.4949729370430159,0.6234701514900213,102553,0.4708603288107061,0.04343009555789927,0.5361347869177403
25,District 26 Estimate,0.3233493166885273,0.776725729240239,0.4926748988043042,0.5773226018881513,113445,0.5401796888264215,0.0390433377527345,0.5940742640928622
26,District 27 Estimate,0.4120325636109202,0.8589568499359024,0.4931356775909558,0.8307685898647129,73932,0.28176922571747554,0.052219040396608914,0.6034315406197635
27,District 28 Estimate,0.34827810464800296,0.8719870683820348,0.4882083922803125,0.8416517245016348,64049,0.2474880752708319,0.0646218531690785,0.8440698721411849
28,District 29 Estimate,0.2871906268707774,0.7833540946637911,0.507915776817229,0.8810930851847848,54335,0.15887162990540676,0.07300943753640153,0.2391979257288095
29,District 30 Estimate,0.3235070746435161,0.4719688860251819,0.4823298809596058,0.7837243815810941,64915,0.2678063800449941,0.059915750954716136,0.9105470891349632
30,District 31 Estimate,0.3337351938141813,0.748679724384779,0.4935658158419019,0.5756616510821071,89350,0.4550910723961004,0.04489331436699858,0.5063027935664169
31,District 32 Estimate,0.3605201541804366,0.6813172275401728,0.4943860255785563,0.6554951153008235,109684,0.4982637027734811,0.04657328009425935,0.4585464515587294
32,District 33 Estimate,0.2881015576221804,0.6447592443916583,0.5064486806048583,0.8346003365160454,52900,0.13562338702500668,0.06239834596829773,0.21926666610459575
33,District 34 Estimate,0.3582718481971651,0.9178196661604326,0.4985067242078354,0.8836626803030485,52734,0.2277547310524844,0.05835300021701389,0.4002478922159043
34,District 35 Estimate,0.2961984549919275,0.6938078962364511,0.5047594034511548,0.7795307952688788,61999,0.2992151096172943,0.05170152937794077,0.2607459961828894
35,District 36 Estimate,0.39626808032953015,0.831016304948052,0.4977453755956438,0.772807472124665,78142,0.2599712975546878,0.07727826921580326,0.7257712134480486
